DayOfWeek,Month,Year,store_id,product_id,customer_id,status,campaign_id,payment_method,sale_amount_sum,sale_amount_mean,discount_percentage_mean,discount_percentage_max,discount_percentage_min,points_mean,transaction_ids
Friday,3.0,2022.0,402,2013,1118,Gold,0,Gift Card,1870.72,1870.72,18.82,18.82,18.82,6442.0,[711]
Friday,3.0,2022.0,402,2020,1114,Gold,1,Mobile Payment,676.49,676.49,10.61,10.61,10.61,7444.0,[1028]
Friday,3.0,2022.0,402,2089,1114,Gold,0,Gift Card,827.04,827.04,0.4,0.4,0.4,7444.0,[1078]
Friday,3.0,2022.0,402,2098,1118,Gold,3,Mobile Payment,907.86,907.86,15.71,15.71,15.71,6442.0,[1602]
Friday,3.0,2022.0,403,2005,1114,Gold,3,Gift Card,428.78,428.78,22.47,22.47,22.47,7444.0,[782]
Friday,3.0,2022.0,403,2009,1114,Gold,3,Cash,198.93,198.93,7.92,7.92,7.92,7444.0,[1982]
Friday,3.0,2022.0,403,2025,1118,Gold,1,Cash,0.0,0.0,12.62,12.62,12.62,6442.0,[1824]
Friday,3.0,2022.0,403,2057,1118,Gold,2,Mobile Payment,699.17,699.17,11.6,11.6,11.6,6442.0,[1016]
Friday,3.0,2022.0,404,2007,1118,Gold,3,Cash,1750.17,1750.17,23.99,23.99,23.99,6442.0,[464]
Friday,3.0,2022.0,404,2064,1118,Gold,0,Cash,882.12,882.12,4.32,4.32,4.32,6442.0,[818]
Friday,3.0,2022.0,404,2068,1114,Gold,2,Gift Card,656.19,656.19,14.97,14.97,14.97,7444.0,[95]
Friday,3.0,2022.0,404,2082,1118,Gold,0,Mobile Payment,799.8,799.8,29.65,29.65,29.65,6442.0,[1336]
Friday,3.0,2024.0,401,2080,1120,Bronze,2,Gift Card,665.81,665.81,2.09,2.09,2.09,434.0,[1467]
Friday,3.0,2024.0,403,2003,1120,Bronze,1,Gift Card,1039.99,1039.99,14.8,14.8,14.8,434.0,[142]
Friday,3.0,2024.0,403,2078,1120,Bronze,2,Credit Card,227.22,227.22,8.08,8.08,8.08,434.0,[1128]
Friday,3.0,2024.0,403,2090,1120,Bronze,3,Mobile Payment,214.92,214.92,12.07,12.07,12.07,434.0,[1616]
Friday,3.0,2024.0,404,2002,1120,Bronze,1,Credit Card,1558.8,1558.8,15.7,15.7,15.7,434.0,[1914]
Friday,3.0,2024.0,404,2058,1120,Bronze,2,Credit Card,1600.2,1600.2,1.1,1.1,1.1,434.0,[1469]
Friday,4.0,2022.0,401,2006,1040,Gold,2,Gift Card,0.0,0.0,22.79,22.79,22.79,5354.0,[770]
Friday,4.0,2022.0,401,2014,1044,Gold,1,Mobile Payment,886.68,886.68,11.12,11.12,11.12,4142.0,[160]
Friday,4.0,2022.0,401,2032,1040,Gold,0,Gift Card,0.0,0.0,5.04,5.04,5.04,5354.0,[673]
Friday,4.0,2022.0,401,2035,1040,Gold,0,Credit Card,899.99,899.99,29.56,29.56,29.56,5354.0,[1406]
Friday,4.0,2022.0,401,2052,1044,Gold,0,Cash,2193.78,2193.78,7.31,7.31,7.31,4142.0,[1097]
Friday,4.0,2022.0,401,2062,1044,Gold,0,Credit Card,1238.72,1238.72,21.42,21.42,21.42,4142.0,[738]
Friday,4.0,2022.0,401,2062,1044,Gold,2,Mobile Payment,495.49,495.49,10.16,10.16,10.16,4142.0,[1258]
Friday,4.0,2022.0,401,2063,1040,Gold,2,Cash,883.94,883.94,27.71,27.71,27.71,5354.0,[1206]
Friday,4.0,2022.0,401,2070,1044,Gold,1,Gift Card,0.0,0.0,19.3,19.3,19.3,4142.0,[57]
Friday,4.0,2022.0,401,2080,1040,Gold,0,Mobile Payment,1664.52,1664.52,4.67,4.67,4.67,5354.0,[1198]
Friday,4.0,2022.0,401,2080,1044,Gold,2,Gift Card,665.81,665.81,28.04,28.04,28.04,4142.0,[1544]
Friday,4.0,2022.0,401,2085,1040,Gold,0,Credit Card,484.3,484.3,7.44,7.44,7.44,5354.0,[1569]
Friday,4.0,2022.0,401,2094,1044,Gold,3,Gift Card,493.35,493.35,3.55,3.55,3.55,4142.0,[962]
Friday,4.0,2022.0,402,2025,1044,Gold,2,Cash,223.7,223.7,28.43,28.43,28.43,4142.0,[133]
Friday,4.0,2022.0,402,2068,1040,Gold,1,Gift Card,2952.86,2952.86,28.97,28.97,28.97,5354.0,[996]
Friday,4.0,2022.0,402,2090,1044,Gold,1,Cash,0.0,0.0,14.94,14.94,14.94,4142.0,[1633]
Friday,4.0,2022.0,402,2091,1040,Gold,2,Cash,724.63,724.63,29.63,29.63,29.63,5354.0,[321]
Friday,4.0,2022.0,403,2051,1040,Gold,0,Credit Card,469.28,469.28,10.3,10.3,10.3,5354.0,[422]
Friday,4.0,2022.0,403,2058,1044,Gold,2,Credit Card,1066.8,1066.8,20.71,20.71,20.71,4142.0,[385]
Friday,4.0,2022.0,404,2003,1040,Gold,0,Credit Card,385.18,385.18,29.92,29.92,29.92,5354.0,[1573]
Friday,4.0,2022.0,404,2003,1044,Gold,3,Cash,1155.54,1155.54,24.57,24.57,24.57,4142.0,[709]
Friday,4.0,2022.0,404,2071,1044,Gold,1,Credit Card,553.64,553.64,9.65,9.65,9.65,4142.0,[1662]
Friday,4.0,2022.0,404,2078,1044,Gold,3,Gift Card,426.03,426.03,22.78,22.78,22.78,4142.0,[413]
Friday,4.0,2022.0,404,2091,1044,Gold,0,Credit Card,1811.58,1811.58,21.13,21.13,21.13,4142.0,[318]
Friday,4.0,2022.0,404,2093,1040,Gold,3,Cash,755.94,755.94,11.38,11.38,11.38,5354.0,[747]
Friday,4.0,2023.0,401,2034,1160,Silver,2,Gift Card,326.81,326.81,0.21,0.21,0.21,3833.0,[1869]
Friday,4.0,2023.0,401,2038,1160,Silver,1,Gift Card,0.0,0.0,11.91,11.91,11.91,3833.0,[336]
Friday,4.0,2023.0,401,2056,1160,Silver,1,Cash,472.25,472.25,7.1,7.1,7.1,3833.0,[81]
Friday,4.0,2023.0,401,2082,1160,Silver,2,Gift Card,426.56,426.56,7.4,7.4,7.4,3833.0,[130]
Friday,4.0,2023.0,402,2016,1160,Silver,1,Credit Card,1162.87,1162.87,1.86,1.86,1.86,3833.0,[1162]
Friday,4.0,2023.0,402,2038,1160,Silver,2,Mobile Payment,2223.62,2223.62,1.57,1.57,1.57,3833.0,[1302]
Friday,4.0,2023.0,402,2040,1160,Silver,3,Mobile Payment,138.16,138.16,28.46,28.46,28.46,3833.0,[223]
Friday,4.0,2023.0,403,2030,1160,Silver,2,Cash,271.95,271.95,12.75,12.75,12.75,3833.0,[1178]
Friday,4.0,2023.0,403,2038,1160,Silver,3,Mobile Payment,0.0,0.0,9.73,9.73,9.73,3833.0,[1562]
Friday,4.0,2023.0,403,2064,1160,Silver,0,Credit Card,1176.16,1176.16,27.06,27.06,27.06,3833.0,[1972]
Friday,4.0,2023.0,404,2009,1160,Silver,2,Mobile Payment,0.0,0.0,22.62,22.62,22.62,3833.0,[1604]
Friday,4.0,2023.0,404,2091,1160,Silver,0,Credit Card,905.79,905.79,28.61,28.61,28.61,3833.0,[107]
Friday,5.0,2020.0,401,2025,1183,Platinum,1,Cash,503.32,503.32,13.39,13.39,13.39,9897.0,[14]
Friday,5.0,2020.0,401,2033,1183,Platinum,0,Cash,0.0,0.0,20.56,20.56,20.56,9897.0,[1517]
Friday,5.0,2020.0,401,2044,1183,Platinum,0,Mobile Payment,1037.9,1037.9,27.9,27.9,27.9,9897.0,[1443]
Friday,5.0,2020.0,401,2057,1183,Platinum,0,Gift Card,873.96,873.96,27.78,27.78,27.78,9897.0,[926]
Friday,5.0,2020.0,401,2060,1183,Platinum,1,Credit Card,367.54,367.54,20.69,20.69,20.69,9897.0,[399]
Friday,5.0,2020.0,401,2074,1183,Platinum,2,Cash,0.0,0.0,22.62,22.62,22.62,9897.0,[1766]
Friday,5.0,2020.0,401,2093,1183,Platinum,0,Gift Card,2267.82,2267.82,0.77,0.77,0.77,9897.0,[1342]
Friday,5.0,2020.0,403,2018,1183,Platinum,3,Credit Card,2711.3,2711.3,13.46,13.46,13.46,9897.0,[276]
Friday,5.0,2020.0,403,2022,1183,Platinum,0,Credit Card,2684.72,2684.72,21.91,21.91,21.91,9897.0,[742]
Friday,5.0,2020.0,403,2024,1183,Platinum,1,Credit Card,335.53,335.53,8.16,8.16,8.16,9897.0,[1706]
Friday,5.0,2020.0,403,2037,1183,Platinum,3,Gift Card,2160.84,2160.84,22.53,22.53,22.53,9897.0,[88]
Friday,5.0,2020.0,403,2040,1183,Platinum,3,Credit Card,103.62,103.62,18.87,18.87,18.87,9897.0,[346]
Friday,5.0,2020.0,403,2047,1183,Platinum,0,Credit Card,1004.94,1004.94,22.95,22.95,22.95,9897.0,[1801]
Friday,5.0,2020.0,404,2049,1183,Platinum,0,Mobile Payment,1879.68,1879.68,28.24,28.24,28.24,9897.0,[1743]
Friday,5.0,2020.0,404,2099,1183,Platinum,0,Cash,1292.64,1292.64,24.92,24.92,24.92,9897.0,[287]
Friday,5.0,2023.0,401,2000,1127,Silver,3,Mobile Payment,969.31,969.31,27.08,27.08,27.08,1059.0,[936]
Friday,5.0,2023.0,402,2011,1127,Silver,0,Mobile Payment,409.74,409.74,24.52,24.52,24.52,1059.0,[1792]
Friday,5.0,2023.0,402,2019,1127,Silver,0,Credit Card,933.93,933.93,28.67,28.67,28.67,1059.0,[1621]
Friday,5.0,2023.0,402,2029,1127,Silver,0,Credit Card,40.53,40.53,13.08,13.08,13.08,1059.0,[1730]
Friday,5.0,2023.0,402,2072,1127,Silver,2,Gift Card,1008.72,1008.72,28.91,28.91,28.91,1059.0,[672]
Friday,5.0,2023.0,403,2017,1127,Silver,3,Cash,0.0,0.0,17.3,17.3,17.3,1059.0,[1136]
Friday,5.0,2023.0,403,2018,1127,Silver,0,Gift Card,0.0,0.0,8.6,8.6,8.6,1059.0,[754]
Friday,5.0,2023.0,403,2064,1127,Silver,1,Gift Card,529.27,529.27,10.56,10.56,10.56,1059.0,[1761]
Friday,5.0,2023.0,403,2080,1127,Silver,2,Credit Card,1997.42,1997.42,22.62,22.62,22.62,1059.0,[341]
Friday,5.0,2023.0,404,2039,1127,Silver,0,Gift Card,1952.88,1952.88,28.77,28.77,28.77,1059.0,[354]
Friday,5.0,2023.0,404,2052,1127,Silver,0,Credit Card,2193.78,2193.78,11.5,11.5,11.5,1059.0,[723]
Friday,6.0,2020.0,401,2015,1083,Platinum,3,Mobile Payment,0.0,0.0,19.84,19.84,19.84,9808.0,[205]
Friday,6.0,2020.0,401,2094,1058,Platinum,0,Credit Card,493.35,493.35,7.49,7.49,7.49,7513.0,[674]
Friday,6.0,2020.0,401,2095,1058,Platinum,3,Credit Card,2453.95,2453.95,21.22,21.22,21.22,7513.0,[109]
Friday,6.0,2020.0,402,2066,1083,Platinum,2,Cash,1238.54,1238.54,20.38,20.38,20.38,9808.0,[1978]
Friday,6.0,2020.0,403,2048,1083,Platinum,3,Credit Card,0.0,0.0,4.5,4.5,4.5,9808.0,[544]
Friday,6.0,2020.0,403,2073,1083,Platinum,1,Gift Card,2247.44,2247.44,13.08,13.08,13.08,9808.0,[352]
Friday,6.0,2020.0,404,2011,1083,Platinum,0,Mobile Payment,1638.96,1638.96,23.96,23.96,23.96,9808.0,[683]
Friday,6.0,2020.0,404,2021,1083,Platinum,2,Mobile Payment,668.33,668.33,11.06,11.06,11.06,9808.0,[212]
Friday,6.0,2020.0,404,2031,1058,Platinum,2,Credit Card,0.0,0.0,4.65,4.65,4.65,7513.0,[447]
Friday,6.0,2020.0,404,2058,1083,Platinum,0,Gift Card,2000.25,2000.25,4.76,4.76,4.76,9808.0,[1421]
Friday,6.0,2020.0,404,2066,1083,Platinum,0,Mobile Payment,516.06,516.06,12.81,12.81,12.81,9808.0,[431]
Friday,6.0,2021.0,401,2001,1070,Gold,3,Gift Card,0.0,0.0,11.97,11.97,11.97,5991.0,[126]
Friday,6.0,2021.0,401,2005,1070,Gold,2,Gift Card,686.05,686.05,22.43,22.43,22.43,5991.0,[43]
Friday,6.0,2021.0,401,2006,1070,Gold,2,Mobile Payment,633.6,633.6,17.03,17.03,17.03,5991.0,[1614]
Friday,6.0,2021.0,401,2075,1070,Gold,2,Credit Card,624.51,624.51,1.15,1.15,1.15,5991.0,[225]
Friday,6.0,2021.0,401,2081,1070,Gold,0,Mobile Payment,1492.44,1492.44,18.89,18.89,18.89,5991.0,[303]
Friday,6.0,2021.0,401,2082,1070,Gold,1,Gift Card,719.82,719.82,16.68,16.68,16.68,5991.0,[644]
Friday,6.0,2021.0,402,2018,1070,Gold,2,Mobile Payment,0.0,0.0,19.8,19.8,19.8,5991.0,[159]
Friday,6.0,2021.0,402,2026,1070,Gold,1,Mobile Payment,190.4,190.4,13.91,13.91,13.91,5991.0,[858]
Friday,6.0,2021.0,402,2028,1070,Gold,3,Cash,2551.76,2551.76,5.52,5.52,5.52,5991.0,[1095]
Friday,6.0,2021.0,403,2028,1070,Gold,1,Credit Card,0.0,0.0,6.96,6.96,6.96,5991.0,[594]
Friday,6.0,2021.0,403,2033,1070,Gold,1,Credit Card,752.62,752.62,17.84,17.84,17.84,5991.0,[835]
Friday,6.0,2021.0,403,2053,1070,Gold,3,Gift Card,1830.45,1830.45,1.49,1.49,1.49,5991.0,[534]
Friday,6.0,2021.0,403,2068,1070,Gold,3,Credit Card,2460.72,2460.72,19.31,19.31,19.31,5991.0,[1404]
Friday,6.0,2021.0,404,2010,1070,Gold,3,Cash,311.36,311.36,28.05,28.05,28.05,5991.0,[1810]
Friday,6.0,2021.0,404,2066,1070,Gold,0,Gift Card,0.0,0.0,6.26,6.26,6.26,5991.0,[796]
Friday,6.0,2021.0,404,2098,1070,Gold,2,Gift Card,1452.58,726.29,4.095000000000001,4.53,3.66,5991.0,"[92, 1508]"
Friday,6.0,2021.0,404,2099,1070,Gold,2,Mobile Payment,1551.17,1551.17,12.86,12.86,12.86,5991.0,[1091]
Friday,6.0,2022.0,401,2013,1187,Gold,2,Cash,2993.15,2993.15,1.73,1.73,1.73,7157.0,[635]
Friday,6.0,2022.0,401,2015,1187,Gold,2,Cash,0.0,0.0,4.62,4.62,4.62,7157.0,[668]
Friday,6.0,2022.0,401,2016,1187,Gold,3,Credit Card,2584.16,2584.16,25.45,25.45,25.45,7157.0,[938]
Friday,6.0,2022.0,401,2024,1187,Gold,3,Credit Card,372.81,372.81,2.61,2.61,2.61,7157.0,[1211]
Friday,6.0,2022.0,401,2080,1187,Gold,0,Cash,0.0,0.0,21.47,21.47,21.47,7157.0,[1020]
Friday,6.0,2022.0,402,2069,1187,Gold,1,Credit Card,627.45,627.45,7.78,7.78,7.78,7157.0,[687]
Friday,6.0,2022.0,402,2093,1187,Gold,1,Mobile Payment,680.35,680.35,0.8,0.8,0.8,7157.0,[1871]
Friday,6.0,2022.0,403,2007,1187,Gold,2,Mobile Payment,466.71,466.71,21.56,21.56,21.56,7157.0,[1971]
Friday,6.0,2022.0,403,2009,1187,Gold,0,Credit Card,265.24,265.24,1.68,1.68,1.68,7157.0,[1235]
Friday,6.0,2022.0,403,2009,1187,Gold,3,Gift Card,198.93,198.93,14.7,14.7,14.7,7157.0,[1257]
Friday,6.0,2022.0,403,2030,1187,Gold,3,Credit Card,509.91,509.91,5.77,5.77,5.77,7157.0,[1461]
Friday,6.0,2022.0,403,2059,1187,Gold,1,Credit Card,1843.38,1843.38,24.03,24.03,24.03,7157.0,[1216]
Friday,6.0,2022.0,403,2073,1187,Gold,2,Gift Card,399.54,399.54,16.27,16.27,16.27,7157.0,[455]
Friday,6.0,2023.0,402,2025,1107,Silver,0,Credit Card,279.62,279.62,5.52,5.52,5.52,3969.0,[725]
Friday,6.0,2023.0,402,2077,1107,Silver,2,Gift Card,898.93,898.93,10.42,10.42,10.42,3969.0,[940]
Friday,6.0,2023.0,403,2021,1107,Silver,1,Credit Card,751.87,751.87,5.23,5.23,5.23,3969.0,[1586]
Friday,6.0,2023.0,403,2025,1107,Silver,1,Mobile Payment,754.97,754.97,13.89,13.89,13.89,3969.0,[1575]
Friday,6.0,2023.0,403,2039,1107,Silver,3,Cash,0.0,0.0,13.38,13.38,13.38,3969.0,[1348]
Friday,6.0,2023.0,403,2045,1107,Silver,2,Credit Card,249.71,249.71,10.26,10.26,10.26,3969.0,[1470]
Friday,6.0,2023.0,403,2058,1107,Silver,1,Cash,1800.22,1800.22,21.28,21.28,21.28,3969.0,[194]
Friday,6.0,2023.0,403,2089,1107,Silver,2,Gift Card,330.82,330.82,9.76,9.76,9.76,3969.0,[1130]
Friday,6.0,2023.0,404,2023,1107,Silver,1,Cash,2536.76,2536.76,13.17,13.17,13.17,3969.0,[1833]
Friday,6.0,2023.0,404,2081,1107,Silver,0,Mobile Payment,2238.66,2238.66,29.28,29.28,29.28,3969.0,[274]
Friday,7.0,2020.0,401,2009,1182,Platinum,2,Gift Card,53.05,53.05,8.79,8.79,8.79,11074.0,[520]
Friday,7.0,2020.0,401,2038,1017,Platinum,0,Gift Card,0.0,0.0,15.75,15.75,15.75,8702.0,[566]
Friday,7.0,2020.0,401,2067,1017,Platinum,1,Cash,523.71,523.71,21.29,21.29,21.29,8702.0,[638]
Friday,7.0,2020.0,401,2071,1017,Platinum,1,Mobile Payment,553.64,553.64,16.51,16.51,16.51,8702.0,[1313]
Friday,7.0,2020.0,401,2073,1182,Platinum,3,Credit Card,499.43,499.43,19.12,19.12,19.12,11074.0,[670]
Friday,7.0,2020.0,402,2044,1017,Platinum,0,Cash,207.58,207.58,10.19,10.19,10.19,8702.0,[282]
Friday,7.0,2020.0,402,2058,1182,Platinum,0,Credit Card,0.0,0.0,4.72,4.72,4.72,11074.0,[1987]
Friday,7.0,2020.0,402,2067,1017,Platinum,3,Gift Card,0.0,0.0,14.03,14.03,14.03,8702.0,[1217]
Friday,7.0,2020.0,402,2097,1017,Platinum,1,Cash,757.89,757.89,11.46,11.46,11.46,8702.0,[157]
Friday,7.0,2020.0,403,2031,1182,Platinum,3,Credit Card,1695.9,1695.9,3.44,3.44,3.44,11074.0,[707]
Friday,7.0,2020.0,403,2059,1017,Platinum,2,Mobile Payment,409.64,409.64,28.76,28.76,28.76,8702.0,[682]
Friday,7.0,2020.0,403,2076,1017,Platinum,3,Gift Card,0.0,0.0,23.39,23.39,23.39,8702.0,[1671]
Friday,7.0,2020.0,404,2048,1182,Platinum,3,Mobile Payment,357.63,357.63,21.65,21.65,21.65,11074.0,[1449]
Friday,7.0,2020.0,404,2060,1017,Platinum,2,Credit Card,0.0,0.0,18.36,18.36,18.36,8702.0,[224]
Friday,7.0,2021.0,401,2010,1061,Gold,3,Mobile Payment,389.2,389.2,8.79,8.79,8.79,4741.0,[1597]
Friday,7.0,2021.0,401,2026,1061,Gold,0,Cash,423.12,423.12,27.33,27.33,27.33,4741.0,[450]
Friday,7.0,2021.0,401,2082,1061,Gold,0,Credit Card,266.6,266.6,22.02,22.02,22.02,4741.0,[1599]
Friday,7.0,2021.0,402,2014,1061,Gold,1,Credit Card,665.01,665.01,15.34,15.34,15.34,4741.0,[1781]
Friday,7.0,2021.0,402,2079,1061,Gold,1,Credit Card,2566.46,2566.46,11.18,11.18,11.18,4741.0,[1428]
Friday,7.0,2021.0,402,2082,1061,Gold,0,Credit Card,533.2,533.2,24.03,24.03,24.03,4741.0,[975]
Friday,7.0,2021.0,403,2042,1061,Gold,0,Mobile Payment,167.61,167.61,4.78,4.78,4.78,4741.0,[915]
Friday,7.0,2021.0,403,2070,1061,Gold,2,Credit Card,27.34,27.34,10.9,10.9,10.9,4741.0,[474]
Friday,7.0,2021.0,404,2092,1061,Gold,3,Cash,482.21,482.21,16.18,16.18,16.18,4741.0,[28]
Friday,7.0,2021.0,404,2098,1061,Gold,0,Credit Card,2723.58,2723.58,28.3,28.3,28.3,4741.0,[1875]
Friday,7.0,2022.0,401,2024,1013,Gold,1,Gift Card,335.53,335.53,27.26,27.26,27.26,7015.0,[1567]
Friday,7.0,2022.0,401,2039,1013,Gold,2,Mobile Payment,1562.3,1562.3,20.29,20.29,20.29,7015.0,[1263]
Friday,7.0,2022.0,402,2019,1013,Gold,0,Gift Card,0.0,0.0,0.45,0.45,0.45,7015.0,[196]
Friday,7.0,2022.0,403,2024,1013,Gold,3,Gift Card,372.81,372.81,5.56,5.56,5.56,7015.0,[80]
Friday,7.0,2022.0,404,2012,1013,Gold,2,Credit Card,1994.21,1994.21,4.93,4.93,4.93,7015.0,[398]
Friday,7.0,2022.0,404,2014,1013,Gold,2,Mobile Payment,197.04,197.04,27.45,27.45,27.45,7015.0,[1608]
Friday,7.0,2022.0,404,2032,1013,Gold,0,Cash,2836.8,2836.8,5.02,5.02,5.02,7015.0,[47]
Friday,7.0,2022.0,404,2082,1013,Gold,2,Cash,1066.4,1066.4,0.06,0.06,0.06,7015.0,[259]
Friday,8.0,2020.0,401,2054,1121,Platinum,0,Mobile Payment,0.0,0.0,3.42,3.42,3.42,9158.0,[1912]
Friday,8.0,2020.0,401,2062,1071,Platinum,1,Cash,557.42,557.42,12.67,12.67,12.67,11899.0,[807]
Friday,8.0,2020.0,402,2001,1121,Platinum,3,Mobile Payment,0.0,0.0,20.46,20.46,20.46,9158.0,[1135]
Friday,8.0,2020.0,402,2016,1121,Platinum,0,Mobile Payment,646.04,646.04,23.84,23.84,23.84,9158.0,[827]
Friday,8.0,2020.0,402,2017,1121,Platinum,3,Gift Card,2782.2,2782.2,13.67,13.67,13.67,9158.0,[1451]
Friday,8.0,2020.0,402,2037,1121,Platinum,3,Mobile Payment,1080.42,1080.42,21.01,21.01,21.01,9158.0,[1642]
Friday,8.0,2020.0,402,2057,1071,Platinum,0,Cash,1310.94,1310.94,17.29,17.29,17.29,11899.0,[721]
Friday,8.0,2020.0,402,2071,1121,Platinum,0,Mobile Payment,1845.48,1845.48,25.92,25.92,25.92,9158.0,[1745]
Friday,8.0,2020.0,402,2084,1071,Platinum,0,Cash,281.85,281.85,10.46,10.46,10.46,11899.0,[1786]
Friday,8.0,2020.0,403,2002,1121,Platinum,2,Credit Card,2771.2,2771.2,9.51,9.51,9.51,9158.0,[373]
Friday,8.0,2020.0,403,2004,1071,Platinum,1,Mobile Payment,834.52,834.52,9.42,9.42,9.42,11899.0,[150]
Friday,8.0,2020.0,403,2014,1121,Platinum,3,Gift Card,985.2,985.2,3.16,3.16,3.16,9158.0,[778]
